metric_time__month,customer__customer_segment,revenue_usd
2016-09-01 00:00:00,new,575.5800000000002
2016-09-01 00:00:00,,17477.70000000003
2016-10-01 00:00:00,new,646.59
2016-10-01 00:00:00,,21277.359999999986
2016-11-01 00:00:00,,27428.18000000003
2016-11-01 00:00:00,new,488.6400000000004
2016-12-01 00:00:00,,34952.61000000002
2016-12-01 00:00:00,new,724.9900000000001
2017-01-01 00:00:00,repeat,218.35
2017-01-01 00:00:00,,44504.929999999935
2017-01-01 00:00:00,new,294.6700000000002
2017-02-01 00:00:00,new,376.29000000000025
2017-02-01 00:00:00,,42834.499999999905
2017-02-01 00:00:00,repeat,147.32999999999998
2017-03-01 00:00:00,,73321.77000000053
2017-03-01 00:00:00,repeat,214.11999999999998
2017-03-01 00:00:00,new,414.4300000000003
2017-04-01 00:00:00,repeat,272.42
2017-04-01 00:00:00,,82682.07000000178
2017-04-01 00:00:00,new,362.5000000000002
2017-05-01 00:00:00,,95395.1700000026
2017-05-01 00:00:00,repeat,278.78000000000003
2017-05-01 00:00:00,new,396.4000000000002
2017-06-01 00:00:00,,97728.07000000219
2017-06-01 00:00:00,repeat,302.07
2017-06-01 00:00:00,new,348.7300000000003
2017-07-01 00:00:00,repeat,377.34999999999997
2017-07-01 00:00:00,new,374.1500000000002
2017-07-01 00:00:00,,94105.69000000223
2017-08-01 00:00:00,new,348.7200000000001
2017-08-01 00:00:00,,106851.15000000347
2017-08-01 00:00:00,repeat,171.72
